TESTED,ALL DATA AVAILABLE,Sample Nr. (=INDEX Nr.),Original SAMPLE Nr.,RAW LOAD,RAW IMP,RAW CV,opt,LOAD,IMP,CV,Ink,Catalyst,Ionomer,Solvent,I:C ratio,Membrane,Pt loading - anode/cathode - mg/cm2,Comment,Filename,A loading,K loading,total load,Loading color scale,max power density (W/cm2),OCV,U at 1A/cm2,ohmic resistance (?),polarization resistance (?),mass specific surface (m2/g),,,,,,,,,,,,
1,3,32,47,1,1,1,,1,1,1,Imm-PtC_KHE_11,Tanaka 29.1 %,EHU CXN PEG 6 kDa 0.5:0.27,H2O:IPA:EtOH,0.6,Nafion 212,0.132,2.4:1,Batch 11,0.044,0.088,0.132,0.132,0.334,0.974,0.293,0.0022,0.0328,26.84898634,0,334,0,974,0,293,0,22,0,328,26,84898634
1,0,,48,0,0,0,,0,0,0,Imm-PtC_KHE_11,Tanaka 29.1 %,EHU CXN PEG 6 kDa 0.5:0.27,H2O:IPA:EtOH,0.6,Nafion 212,0.103,02:01:00,Batch 11,0.069,0.034,, ,[],[],[],[],[],,[],[],[],,,,,,,,,
1,0,,49,0,0,0,,0,0,0,Imm-PtC_KHE_11,Tanaka 29.1 %,EHU CXN PEG 6 kDa 0.5:0.27,H2O:IPA:EtOH,0.6,Nafion 211,0.082,one-sided (cathode),Batch 11,0.055,0.027,, ,[],[],[],[],[],,[],[],[],,,,,,,,,
1,3,33,50,1,1,1,post,1,1,1,Imm-PtC_KHE_12,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA:EtOH,0.6,Nafion 212,0.065,02:01:00,Batch 11,0.043,0.022,0.065,0.065,0.091,0.79,NaN,[],[],,0,91,0,790,NaN,[],[],,,,,
1,0,,51,0,0,0,,0,0,0,Imm-PtC_KHE_12,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA:EtOH,0.6,FS-960-RF,0.071,02:01:00,Batch 11,0.047,0.024,, ,[],[],[],[],[],,[],[],[],,,,,,,,,
1,2,,52,0,1,1,post,0,1,1,Imm-PtC_KHE_12,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA:EtOH,0.6,FS-930-RFS,0.069,02:01:00,Batch 11,0.046,0.023,, ,[],[],[],[],[],26.92619819,[],[],[],26,92619819,,,,,,,
1,0,,53,0,0,0,,0,0,0,Imm-PtC_KHE_12,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA:EtOH,0.6,FS-930-RFS,0.046,one-sided (cathode),Batch 11,0.031,0.015,, ,[],[],[],[],[],,[],[],[],,,,,,,,,
1,0,,54,0,0,0,,0,0,0,Imm-PtC_KHE_12,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:IPA:EtOH,0.6,FS-960-RF,0.066,02:01:00,Batch 11,0.044,0.022,, ,[],[],[],[],[],,[],[],[],,,,,,,,,
1,3,34,55,1,1,1,post,1,1,1,Imm-PtC_KHE_13,Tanaka 29.1 %,EHU N2 CXN PEG 6 kDa 0.5:0.5,H2O:IPA:EtOH,0.6,Nafion 212,0.081,08:03:00,Batch 13,,,0, ,0.124,0.861,NaN,[],[],,NaN,[],[],,,,,,,,,
1,0,,56,0,0,0,,0,0,0,Imm-PtC_KHE_13,Tanaka 29.1 %,EHU N2 CXN PEG 6 kDa 0.5:0.5,H2O:IPA:EtOH,0.6,Nafion 212,,,Batch 13,,,, ,[],[],[],[],[],,,,,,,,,,,,,
1,3,35,57,1,1,1,post,1,1,1,Imm-PtC_KHE_13,Tanaka 29.1 %,EHU N2 CXN PEG 6 kDa 0.5:0.5,H2O:IPA:EtOH,0.6,FS-960-RF,0.071,08:03:00,Batch 13,,,0, ,0.068,0.851,NaN,[],[],,NaN,[],[],,,,,,,,,
1,3,36,58,1,1,1,,1,1,1,Imm-PtC_KHE_17,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH (30:70),0.6,Nafion 212,0.198,01:01:00,Batch 14,0.099,0.099,0.198,0.198,0.976,0.922,0.611,0.002,0.0077,,0,976,0,922,0,611,0,20,0,77,,
1,0,,59,0,0,0,,0,0,0,Imm-PtC_KHE_17,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH (30:70),0.6,Nafion 212,0.19,01:02:00,Batch 14,0.095,0.095,0.19,0.19,[],[],[],[],[],,[],[],[],[],[],,,,,,,
1,3,37,60,1,1,1,,1,1,1,Imm-PtC_KHE_17,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH (30:70),0.6,FS-960-RF,0.212,01:01:00,Batch 14,0.106,0.106,0.212,0.212,0.846,0.937,0.614,0.002,0.0098,17.48349799,0,846,0,937,0,614,0,20,0,98,17,48349799
1,3,38,61,1,1,1,,1,1,1,Imm-PtC_KHE_17,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH (30:70),0.6,FS-960-RF,0.194,01:01:00,Batch 14,0.097,0.097,0.194,0.194,0.638,0.95,0.565,0.002,0.0212,15.51973858,0,638,0,950,0,565,0,20,0,212,15,51973858
1,3,39,62,1,1,1,,1,1,1,Imm-PtC_KHE_20,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH (30:70),0.6,Gore 775.15,0.242,01:01:00,Batch 14,0.121,0.121,0.242,0.242,0.997,0.9,0.606,0.0011,0.009,17.32498362,0,997,0,900,0,606,0,11,0,90,17,32498362
1,0,,63,0,0,0,,0,0,0,Imm-PtC_KHE_20,Tanaka 29.1 %,Nafion D-512 (5wt.%),H2O:EtOH (30:70),0.6,Gore 775.15,0.255,01:01:00,Batch 14,0.128,0.128,0.255,0.255,[],[],[],[],[],,[],[],[],[],[],,,,,,,
